"",".groups","time","HR1","HR2","Resp1","Resp2","rowname","filename","study","group","trial","condition"
"1","1",499.5,1.91947193739911,1.61313048760876,-1.02875968280412,1.07736890709291,1,"Study4_G1_T1_Synchronous.csv","Study4","G1","T1","Synchronous"
"2","2",1499.5,1.68201785072831,0.0731470506192159,-0.945778222955745,1.42278437064128,1001,"Study4_G1_T1_Synchronous.csv","Study4","G1","T1","Synchronous"
"3","3",2499.5,0.728039872326642,-0.172662038231776,-1.51762883336667,1.45972590886006,2001,"Study4_G1_T1_Synchronous.csv","Study4","G1","T1","Synchronous"
"4","4",3499.5,0.628009104879334,-0.172662038231776,-0.972020678559201,1.1589789942155,3001,"Study4_G1_T1_Synchronous.csv","Study4","G1","T1","Synchronous"
"5","5",4499.5,1.09248445173745,-0.172662038231776,-0.136692221801253,1.49029910588709,4001,"Study4_G1_T1_Synchronous.csv","Study4","G1","T1","Synchronous"
"6","6",5499.5,1.24127459107412,-0.12381861655747,0.0690542443035547,1.28927949377762,5001,"Study4_G1_T1_Synchronous.csv","Study4","G1","T1","Synchronous"
"7","7",6499.5,1.5717141474934,1.87026716397177,0.198178692308367,1.22435441683093,6001,"Study4_G1_T1_Synchronous.csv","Study4","G1","T1","Synchronous"
"8","8",7499.5,1.68249172367153,0.941013938011944,0.169049709819579,0.486228427861033,7001,"Study4_G1_T1_Synchronous.csv","Study4","G1","T1","Synchronous"
"9","9",8499.5,1.66503812158559,1.85327814773723,-0.117562206494982,0.350950991232166,8001,"Study4_G1_T1_Synchronous.csv","Study4","G1","T1","Synchronous"
"10","10",9499.5,1.5083130957976,-0.172662038231776,-0.992874202767169,0.189655395756934,9001,"Study4_G1_T1_Synchronous.csv","Study4","G1","T1","Synchronous"
"11","11",10499.5,1.44701713352264,0.735224428399371,-1.65090756918918,-0.43595201199771,10001,"Study4_G1_T1_Synchronous.csv","Study4","G1","T1","Synchronous"
"12","12",11499.5,1.12390802701731,1.05098629939112,-1.67439447023051,-0.86335101059641,11001,"Study4_G1_T1_Synchronous.csv","Study4","G1","T1","Synchronous"
